ilce_adi,toplam_bina,hasarsiz_yuzde,hafif_hasar_yuzde,orta_hasar_yuzde,agir_hasar_yuzde,cok_agir_hasar_yuzde,orta_ve_ustu_hasarli_bina,can_kaybi,agir_yarali,hastanede_tedavi,gecici_barinma_hane,gecici_barinma_kisi,yol_kapanma_verisi,kaynak_yili,senaryo,veri_duzeyi,kaynak_pdf
Adalar,6393,23.0,29.0,30.0,12.0,6.0,3050,76,61,217,3115,9345,Harita,2020,Mw 7.5 gece,ilce,Adalar.pdf
Arnavutkoy,31948,78.0,15.0,5.0,1.0,1.0,1988,0,0,34,5815,17445,Harita,2020,Mw 7.5 gece,ilce,Arnavutkoy.pdf
Atasehir,27583,63.0,24.0,10.0,2.0,1.0,3350,89,47,330,14702,44106,Harita,2020,Mw 7.5 gece,ilce,Atasehir.pdf
Avcilar,26762,39.0,34.0,21.0,5.0,1.0,7039,465,239,1385,34941,104823,Harita,2020,Mw 7.5 gece,ilce,Avcilar.pdf
Bagcilar,42446,39.0,36.0,19.0,4.0,2.0,10622,1179,652,3148,59513,178539,Harita,2020,Mw 7.5 gece,ilce,Bagcilar.pdf
Bahcelievler,23276,24.0,42.0,25.0,6.0,3.0,7954,1633,879,4261,61199,183597,Harita,2020,Mw 7.5 gece,ilce,Bahcelievler.pdf
Bakirkoy,11950,21.0,33.0,28.0,11.0,7.0,5482,1046,581,2701,28910,86730,Harita,2020,Mw 7.5 gece,ilce,Bakirkoy.pdf
Basaksehir,25791,62.0,24.0,11.5,2.0,0.5,3667,71,45,287,13397,40191,Harita,2020,Mw 7.5 gece,ilce,Basaksehir.pdf
Bayrampasa,20952,37.0,35.0,19.0,6.0,3.0,5855,520,340,1394,23064,69192,Harita,2020,Mw 7.5 gece,ilce,Bayrampasa.pdf
Besiktas,16037,72.0,20.0,6.5,1.0,0.5,1304,26,14,99,4096,12288,Harita,2020,Mw 7.5 gece,ilce,Besiktas.pdf
Beykoz,51201,79.0,14.0,5.0,0.86,0.22,3312,25,16,112,5937,17811,Harita,2020,Mw 7.5 gece,ilce,Beykoz.pdf
Beylikduzu,12753,33.0,34.0,24.0,7.0,2.0,4275,527,276,1456,26670,80010,Harita,2020,Mw 7.5 gece,ilce,Beylikduzu.pdf
Beyoglu,27335,58.0,26.0,11.0,3.0,2.0,4383,217,150,609,10295,30885,Harita,2020,Mw 7.5 gece,ilce,Beyoglu.pdf
Buyukcekmece,31343,42.0,30.0,21.0,5.0,2.0,8696,288,154,885,24298,72894,Harita,2020,Mw 7.5 gece,ilce,Buyukcekmece.pdf
Catalca,27302,78.0,14.0,6.0,1.0,0.23,2020,4,2,25,1933,5799,Harita,2020,Mw 7.5 gece,ilce,Catalca.pdf
Cekmekoy,20947,78.0,16.0,5.0,0.533,0.07,1127,1,0,18,3978,11934,Harita,2020,Mw 7.5 gece,ilce,Cekmekoy.pdf
Esenler,23766,46.0,33.0,16.0,3.0,2.0,4943,638,352,1687,31271,93813,Harita,2020,Mw 7.5 gece,ilce,Esenler.pdf
Esenyurt,38685,36.0,38.0,20.0,4.0,1.4,10242,1003,543,2789,67410,202230,Harita,2020,Mw 7.5 gece,ilce,Esenyurt.pdf
Eyup,34363,61.0,25.0,11.0,2.4,0.87,4935,168,110,525,16067,48201,Harita,2020,Mw 7.5 gece,ilce,Eyup.pdf
Fatih,43560,28.0,36.0,23.0,8.0,5.0,15528,1484,985,3897,46784,140352,Harita,2020,Mw 7.5 gece,ilce,Fatih.pdf
Gaziosmanpasa,29283,67.0,23.0,8.0,1.5,0.5,2808,140,83,418,13963,42000,Harita,2020,Mw 7.5 gece,ilce,Gaziosmanpasa.pdf
Gungoren,10914,27.0,42.0,22.0,6.0,3.0,3360,754,415,1965,27478,82434,Harita,2020,Mw 7.5 gece,ilce,Gungoren.pdf
Kadikoy,25210,60.0,27.0,10.0,2.0,1.0,3139,190,93,592,13585,40755,Harita,2020,Mw 7.5 gece,ilce,Kadikoy.pdf
Kagithane,29103,73.0,20.0,6.0,0.7,0.3,2096,84,44,275,9908,30000,Harita,2020,Mw 7.5 gece,ilce,Kagithane.pdf
Kartal,29981,60.0,27.0,10.0,2.0,1.0,4074,176,87,553,18189,54567,Harita,2020,Mw 7.5 gece,ilce,Kartal.pdf
Kucukcekmece,40136,34.0,34.0,22.0,7.0,3.0,12834,1515,925,4079,72774,218322,Harita,2020,Mw 7.5 gece,ilce,Kucukcekmece.pdf
Maltepe,28742,57.0,28.0,12.0,2.0,1.0,4315,234,130,706,20102,60306,Harita,2020,Mw 7.5 gece,ilce,Maltepe.pdf
Pendik,51497,60.0,26.0,11.0,2.0,1.0,6940,195,101,707,28281,84843,Harita,2020,Mw 7.5 gece,ilce,Pendik.pdf
Sancaktepe,30295,68.0,22.0,8.0,1.5,0.5,3039,48,24,216,12967,38900,Harita,2020,Mw 7.5 gece,ilce,Sancaktepe.pdf
Sariyer,49391,80.0,14.0,5.0,0.7,0.3,2955,33,21,141,6616,19848,Harita,2020,Mw 7.5 gece,ilce,Sariyer.pdf
Sile,20102,83.2,12.0,4.0,0.6,0.2,902,0,0,0,876,2628,Harita,2020,Mw 7.5 gece,ilce,Sile.pdf
Silivri,50096,58.0,24.0,14.0,3.0,1.0,9306,58,27,246,13481,40000,Harita,2020,Mw 7.5 gece,ilce,Silivri.pdf
Sisli,20689,72.0,21.0,5.0,1.0,1.0,1283,55,27,172,4845,14535,Harita,2020,Mw 7.5 gece,ilce,Sisli.pdf
Sultanbeyli,33921,61.0,24.6,12.0,2.0,0.4,4706,73,38,300,16635,49905,Harita,2020,Mw 7.5 gece,ilce,Sultanbeyli.pdf
Sultangazi,33969,73.0,20.0,5.8,1.0,0.2,2110,57,27,217,10524,35000,Harita,2020,Mw 7.5 gece,ilce,Sultangazi.pdf
Tuzla,28368,46.0,28.0,19.0,5.0,2.0,7126,268,169,808,21417,64251,Harita,2020,Mw 7.5 gece,ilce,Tuzla.pdf
Umraniye,52612,72.0,20.0,7.0,0.9,0.1,4265,42,17,250,16345,49035,Harita,2020,Mw 7.5 gece,ilce,Umraniye.pdf
Uskudar,41731,67.0,23.0,8.0,1.5,0.5,3980,95,42,365,15087,45261,Harita,2020,Mw 7.5 gece,ilce,Uskudar.pdf
Zeytinburnu,16000,27.0,40.0,24.0,6.0,3.0,5334,668,374,1767,31030,93090,Harita,2020,Mw 7.5 gece,ilce,Zeytinburnu.pdf
