ilce_adi,mahalle_adi,vs30_ortalama,vs30_min,vs30_max,vs30_piksel_sayisi,vs30_guven_seviyesi
Adalar,Nizam Mahallesi,432.91,180.0,590.02,14,yuksek
Adalar,Maden Mahallesi,426.98,180.0,600.0,18,yuksek
Adalar,Kınalıada Mahallesi,313.9,192.81,442.66,6,orta
Adalar,Heybeliada Mahallesi,400.25,232.8,600.0,13,yuksek
Adalar,Burgazada Mahallesi,441.64,180.0,600.0,12,yuksek
Küçükçekmece,Atakent Mahallesi,397.61,262.23,547.67,23,yuksek
Küçükçekmece,Atatürk Mahallesi,359.42,314.42,434.39,8,orta
Küçükçekmece,Beşyol Mahallesi,325.97,284.16,373.08,3,dusuk
Küçükçekmece,Cennet Mahallesi,405.35,337.64,467.26,5,orta
Küçükçekmece,Cumhuriyet Mahallesi,451.22,324.83,522.49,5,orta
Küçükçekmece,Fatih Mahallesi,347.37,180.0,497.01,12,yuksek
Küçükçekmece,Fevzi Çakmak Mahallesi,409.78,324.83,467.93,4,orta
Küçükçekmece,Gültepe Mahallesi,357.56,320.68,414.38,5,orta
Küçükçekmece,Halkalı Merkez Mahallesi,426.68,358.01,547.67,18,yuksek
Küçükçekmece,İnönü Mahallesi,421.99,328.68,508.67,10,yuksek
Küçükçekmece,İstasyon Mahallesi,407.39,262.23,547.67,13,yuksek
Küçükçekmece,Kanarya Mahallesi,435.33,324.83,522.49,9,orta
Küçükçekmece,Kartaltepe Mahallesi,381.58,269.42,488.74,8,orta
Küçükçekmece,Kemalpaşa Mahallesi,362.48,324.83,414.38,4,orta
Küçükçekmece,Mehmet Akif Mahallesi,355.75,298.32,434.39,8,orta
Küçükçekmece,Söğütlü Çeşme Mahallesi,425.49,359.05,467.93,6,orta
Küçükçekmece,Sultan Murat Mahallesi,331.24,324.83,337.64,2,dusuk
Küçükçekmece,Tevfikbey Mahallesi,423.12,312.71,508.67,7,orta
Küçükçekmece,Yarımburgaz Mahallesi,382.47,262.23,490.6,16,yuksek
Küçükçekmece,Yeni Mahalle,431.13,324.83,522.49,7,orta
Küçükçekmece,Yeşilova Mahallesi,368.53,337.64,425.93,3,dusuk
Beşiktaş,Arnavutköy Mahallesi,537.89,363.67,649.19,4,orta
Beşiktaş,Balmumcu Mahallesi,422.04,290.85,478.22,5,orta
Beşiktaş,Bebek Mahallesi,510.97,360.78,649.19,9,orta
Beşiktaş,Etiler Mahallesi,439.07,261.11,628.72,8,orta
Beşiktaş,Gayrettepe Mahallesi,423.61,360.68,478.22,5,orta
Beşiktaş,Kültür Mahallesi,459.62,298.83,649.19,6,orta
Beşiktaş,Kuruçeşme Mahallesi,522.26,390.01,649.19,6,orta
Beşiktaş,Levazım Mahallesi,415.2,290.85,465.75,5,orta
Beşiktaş,Mecidiye Mahallesi,470.22,442.99,529.55,5,orta
Beşiktaş,Nispetiye Mahallesi,375.04,290.85,465.75,6,orta
Beşiktaş,Ortaköy Mahallesi,476.07,442.99,529.55,6,orta
Beşiktaş,Ulus Mahallesi,444.85,390.01,479.61,4,orta
Beşiktaş,Yıldız Mahallesi,441.91,348.63,495.38,9,orta
Beşiktaş,Muradiye Mahallesi,473.64,454.44,492.85,2,dusuk
Beşiktaş,Abbasağa Mahallesi,461.48,454.44,468.52,2,dusuk
Beşiktaş,Dikilitaş Mahallesi,442.62,384.91,478.22,5,orta
Beşiktaş,Türkali Mahallesi,461.48,454.44,468.52,2,dusuk
Beşiktaş,Cihannüma Mahallesi,474.14,454.44,495.38,4,orta
Beşiktaş,Sinanpaşa Mahallesi,401.53,348.63,454.44,2,dusuk
Beşiktaş,Vişnezade Mahallesi,457.36,348.63,533.52,4,orta
Beşiktaş,Konaklar Mahallesi,367.4,261.11,426.87,9,orta
